country,description,designation,points,price,province,region_1,title,variety,winery,year,location,avg_temp,range_temp,stdv_temp,avg_precip,range_precip,stdv_precip,lat,lng,elevation,review_length,abv,bottle_size,category,importer
Argentina,"Soapy, funky aromas feel unfocused, with bland flavors of melon and not much else. It finishes soft.",,81,13,Mendoza Province,Mendoza,Tres Exilios 2013 Torrontes (Mendoza),Torrontés,Tres Exilios,2013,"Mendoza,Mendoza Province,Argentina",13.52847747,13.51826567,4.78122422,63.74336531,42.3107214,13.64178749,-34.870072,-68.547997,1032,17,13,750,White,Eagle Eye Brands
United States of America,"With just a handful of Malbec, this wine takes time to open before becoming juicy, herbal and elegant, expressive in tobacco and black tea. The tannins fine and dry.",,89,30,California,Napa Valley,Flora Springs 2013 Merlot (Napa Valley),Merlot,Flora Springs,2013,"Napa Valley,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,39.023468,-84.450465,243,29,14.2,750,Red,not_imported
United States of America,"Lusty and rustic, this Petite Sirah has full-bodied flavors of berry-cherry jam, chocolate and spice. The tannins are rich, suggesting char-broiled steaks and chops.",The Heritage Collection,84,12,California,Lodi,Peirano 2006 The Heritage Collection Petite Sirah (Lodi),Petite Sirah,Peirano,2006,"Lodi,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,38.097198,-121.38785,1,24,13.8,750,Red,not_imported
United States of America,"The first vintage for this re-branded, mid-level Ponzi Pinot is a doozy. Lovely aromatics offer a plush potpourri of plum, blueberry and cherry fruit, along with hints of curry, chocolate and hickory chips. Flavors are nicely entwined, round and full bodied, with a streak of root beer. This is ready to enjoy now and over the next couple of years.",Classico,92,43,Oregon,Willamette Valley,Ponzi 2014 Classico Pinot Noir (Willamette Valley),Pinot Noir,Ponzi,2014,"Willamette Valley,Oregon,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,45.344287,-122.667037,50,60,13.8,750,Red,not_imported
United States of America,"Released in the autumn of 2011 at nine years of age, the 2002 Citation, not surprisingly, has dried out. Fruit leather and earthy tannins are lightly streaked with citrus. Drink up.",Citation,87,60,Oregon,Oregon,Citation 2002 Citation Pinot Noir (Oregon),Pinot Noir,Citation,2002,"Oregon,Oregon,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,43.97928,-120.737257,1177,31,13.3,750,Red,not_imported
France,"The restrained nose just gives hints of ripe russet pear which appears with a friendly off-dry presence on the palate. The generosity of the fruit is offset with phenolic, pithy but pleasant bitterness that segues into zesty citrus. The finish is dry and clean.",Hatschbourg Grand Cru,90,35,Alsace,Alsace,Joseph Cattin 2016 Hatschbourg Grand Cru Pinot Gris (Alsace),Pinot Gris,Joseph Cattin,2016,"Alsace,Alsace,France",10.99569921,14.43840141,5.074146556,76.11128248,57.33432783,18.02801744,49.127043,6.145731,170,44,14,750,White,Grape Vine Imports
Spain,"Lemon-drop aromas are fresh and show a touch of green apple. This wine is solid, but a bit basic. Lightly salted melon and apricot flavors finish dry and collected.",Single Vineyard Estate Bottled,89,20,Galicia,Rías Baixas,Finca Arantei 2016 Single Vineyard Estate Bottled Albarino (Rias Baixas),Albariño,Finca Arantei,2016,"Rías Baixas,Galicia,Spain",15.15150141,12.36486107,4.320660018,46.86140963,57.78149558,18.66696235,42.402507,-8.808344,28,29,13,750,White,MundoVino-The Winebow Group
Italy,"You'll appreciate the streamlined and compact character of this Cab-Merlot blend that ultimately helps establish its harmony and balance. In terms of aromas, it offers bright cherry fruit, forest berry, blueberry, spice and lightly toasted coffee bean. The oak element becomes more obvious in the mouth where the wine also showcases silky tannins and chewy fruit.",Sogno dell'Uva,90,99,Tuscany,Toscana,Cennatoio 2003 Sogno dell'Uva Red (Toscana),Red Blend,Cennatoio,2003,"Toscana,Tuscany,Italy",13.84565306,14.71520433,5.169522481,56.19966563,56.06968785,17.68605786,43.792284,11.332806,319,56,13,750,Red,Panebianco
United States of America,"Strikes just the right balance between Pinot Noir's cherried richness and the sauve elegance you want in a rosé. It's dry and crisp in acidity, with rich notes of orange peel, vanilla and toast.",Wood's Vineyard Rosé of Pinot Noir,88,25,California,Russian River Valley,Ousterhout 2012 Wood's Vineyard Rose of Pinot Noir Rose (Russian River Valley),Rosé,Ousterhout,2012,"Russian River Valley,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,38.634525,-122.830851,34,34,14,750,Rose,not_imported
Italy,"Delicate fruit fragrances of stone fruit, pineapple, cantaloupe and freshly cut grass take the lead. The palate offers juicy yellow peach, green melon and a mineral note alongside crisp acidity.",Kofl,88,17,Northeastern Italy,Alto Adige,Cantina Produttori Cortaccia 2012 Kofl Sauvignon (Alto Adige),Sauvignon,Cantina Produttori Cortaccia,2012,"Alto Adige,Northeastern Italy,Italy",13.84565306,14.71520433,5.169522481,56.19966563,56.06968785,17.68605786,46.655969,11.229644,1499,30,14,750,White,Empire Wine Collection
United States of America,"From the proprietor's 30 acres of the variety, planted to three clones ideally suited for the coolness of the site, this is a relatively light-bodied wine. However it presents a richness and concentration of pineapple and green olive, the oak providing a baked, creamy sensation.",La Masia Don Miguel Vineyard,90,35,California,Russian River Valley,Marimar Estate 2014 La Masia Don Miguel Vineyard Chardonnay (Russian River Valley),Chardonnay,Marimar Estate,2014,"Russian River Valley,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,38.634525,-122.830851,34,45,13.5,750,White,not_imported
United States of America,"Lots of juicy blackberry, cassis and cedar flavors in this dry, full-bodied young wine. But it's also very tannic, with a lockdown astringency. Seems to have the stuffing for more than six years in the cellar.",Thérèse Vineyards Estate,89,45,California,Santa Cruz Mountains,Martin Ranch 2005 Therese Vineyards Estate Cabernet Sauvignon (Santa Cruz Mountains),Cabernet Sauvignon,Martin Ranch,2005,"Santa Cruz Mountains,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,37.219111,-122.07135,911,36,14.2,750,Red,not_imported
United States of America,"An unusually deep color goes right to the rim, as aromas like pomegranate and coffee emerge, and flavors like mocha, dark chocolate and blueberries follow on the palate. This young winery has a winning house style that comes through beautifully in this layered, rounded and polished wine. Best after 2018.",,93,32,California,Red Hills Lake County,Sol Rouge 2012 Syrah (Red Hills Lake County),Syrah,Sol Rouge,2012,"Red Hills Lake County,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,39.78373,-100.445882,833,50,14.4,750,Red,not_imported
Portugal,"The wine is ripe and soft with black-currant acidity and gentle tannins. There is a firm structure behind the jammy fruit flavors, enough to give the wine support. It is ready to drink.",Private Selection,87,25,Península de Setúbal,,Herdade da Comporta 2012 Private Selection Red (Peninsula de Setubal),Portuguese Red,Herdade da Comporta,2012,"Península de Setúbal,Portugal",16.07577561,9.483322288,3.353981031,55.12418526,88.22825322,29.33222663,38.627278,-8.929689,35,33,14,750,Red,Value Vines LLC
United States of America,"The alcohol is nearly 16%. Yikes! And it shows, with a hot mouthfeel and a glyceriney sweetness. Too bad, because the underlying wine, with cherry, cola, cedar and spice flavors, seems fine.",,84,48,California,Russian River Valley,La Rochelle 2006 Pinot Noir (Russian River Valley),Pinot Noir,La Rochelle,2006,"Russian River Valley,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,38.634525,-122.830851,34,32,15.8,750,Red,not_imported
United States of America,"This wine is bright and crisp in strawberry and red licorice flavors, with a depth of juicy plum that adds softness and velvety texture. Tawdry earth complements the exuberant fruit.",Lingenfelder Vineyard,90,49,California,Russian River Valley,Siduri 2014 Lingenfelder Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Siduri,2014,"Russian River Valley,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,38.634525,-122.830851,34,30,14.4,750,Red,not_imported
Australia,"This medium-bodied white features attractive scents of lime zest and pineapple. On the palate, the flavors veer toward apple and citrus, which fade rapidly on the finish. Drink now.",Single-Site,87,15,South Australia,Langhorne Creek,Zonte's Footstep 2009 Single-Site Verdelho (Langhorne Creek),Verdelho,Zonte's Footstep,2009,"Langhorne Creek,South Australia,Australia",21.33444619,12.37687959,4.421156388,51.02601605,78.21717408,27.38081361,-35.295938,139.036445,23,29,12.5,750,White,Old Bridge Cellars
United States of America,"Pink grapefruit and blossomy floral aromas are exuberant and perfumy on this dry, slightly demure wine. Tart with lime acidity, it's quaffable and unusually brisk on the palate, but lacks the variety's characteristic volume and drama.",Dry,85,14,New York,Finger Lakes,Lucas Vineyards 2012 Dry Gewurztraminer (Finger Lakes),Gewürztraminer,Lucas Vineyards,2012,"Finger Lakes,New York,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,39.621495,-84.198677,277,36,12,750,White,not_imported
Portugal,"Deliciously crisp and fruity, this is a bright, clean style of wine not showing much terroir character but is fresh and full of citrus fruits. The acidity gives a refreshing lift at the end.",Contraste Branco,85,19,Douro,,Conceito Vinhos 2013 Contraste Branco White (Douro),Portuguese White,Conceito Vinhos,2013,"Douro,Portugal",16.07577561,9.483322288,3.353981031,55.12418526,88.22825322,29.33222663,41.170042,-7.30475,567,34,13,750,White,"Vin de Terra Imports, Inc"
Portugal,"Fresh and perfumed, this wine offers great citric flavors, a lively crispness rare in white wines from central Portugal. Pear and some yellow fruits give roundness.",,87,10,Ribatejo,,Quinta da Alorna 2006 White (Ribatejo),Portuguese White,Quinta da Alorna,2006,"Ribatejo,Portugal",16.07577561,9.483322288,3.353981031,55.12418526,88.22825322,29.33222663,38.991436,-8.98665,110,26,12,750,White,Grape Moments
Italy,"This opens with rustic aromas of barnyard, wet animal fur, game and overripe black fruit. The overripe quality carries over the palate along with notes of bacon, rubber and fleshy blackberry. It finishes on an unpleasantly bitter note.",Puteus Riserva,83,45,Southern Italy,Salice Salentino,Mocavero 2010 Puteus Riserva Red (Salice Salentino),Red Blend,Mocavero,2010,"Salice Salentino,Southern Italy,Italy",13.84565306,14.71520433,5.169522481,56.19966563,56.06968785,17.68605786,40.385662,17.963748,49,38,13.5,750,Red,Martin Ulisse Imports
United States of America,"Sweet vanilla mingles with ripe cherries and plums on the nose and palate of this supple, soft Long Island Merlot. Bright acidity and a hint of green, leafy herbs add freshness on the palate. Finishes on a slightly grippy, tannic note.",,85,20,New York,North Fork of Long Island,Castello di Borghese 2006 Merlot (North Fork of Long Island),Merlot,Castello di Borghese,2006,"North Fork of Long Island,New York,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,39.78373,-100.445882,833,41,12.5,750,Red,not_imported
Spain,"Mint and milk chocolate are the lead aromas, followed by cherry and herbal notes. The wine is basic, fresh and fruity, with choppy tannins, heat and lively red berry flavors with citrus undertones. Runs a bit rough and heady.",La Multa Old Vine,86,15,Northern Spain,Calatayud,El Escoces Volante 2009 La Multa Old Vine Garnacha (Calatayud),Garnacha,El Escocés Volante,2009,"Calatayud,Northern Spain,Spain",15.15150141,12.36486107,4.320660018,46.86140963,57.78149558,18.66696235,41.352763,-1.642298,540,39,14.5,750,Red,Well-Oiled Wine Company
United States of America,"Randall Grahm notes that this is one of his best Syrahs from this historic vineyard, and it's hard to disagree. Aromas of gravel, just-crushed peppercorns and blueberries lead into a lighter, airy, mineral-driven palate of black rocks, black pepper and boysenberry fruit. It's one of the better cool-climate Syrahs around right now.",Bien Nacido X Block,94,50,California,Santa Maria Valley,Bonny Doon 2011 Bien Nacido X Block Syrah (Santa Maria Valley),Syrah,Bonny Doon,2011,"Santa Maria Valley,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,34.947792,-120.564712,31,52,12,750,Red,not_imported
United States of America,"This leads with herb, vanilla and plum aromas, along with a reduced note of tire rubber. On the palate, sweet plum flavors are backed by gritty tannins, proving somewhat disjointed.",Summit View Vineyard,87,30,Washington,Walla Walla Valley (WA),Jolete 2015 Summit View Vineyard Cabernet Sauvignon (Walla Walla Valley (WA)),Cabernet Sauvignon,Joleté,2015,"Walla Walla Valley (WA),Washington,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,46.065038,-118.330248,300,30,14.4,750,Red,not_imported
Spain,"Aromas of melon, lime and stream water are just right. This has a crystal clear sense of freshness to the palate along with lime, peach and melon flavors that coast on fine acidity and finish in refreshing fashion.",,91,18,Galicia,Rías Baixas,Morgadio 2015 Albarino (Rias Baixas),Albariño,Morgadío,2015,"Rías Baixas,Galicia,Spain",15.15150141,12.36486107,4.320660018,46.86140963,57.78149558,18.66696235,42.402507,-8.808344,28,38,12.5,750,White,Classical Wines
Slovenia,"This Slovenian red blend of 40% Cabernet Franc, 30% Cabernet Sauvignon and 30% Merlot has aromas of raspberry, cherry and a touch of green bramble. In the mouth, there is balanced acidity with flavors of cherry pie and dried plums. The finish is persistent with grippy tannins.",Cuvée,88,15,Goriska Brda,,Colliano 2012 Cuvee Red (Goriska Brda),Bordeaux-style Red Blend,Colliano,2012,"Goriska Brda,Slovenia",8.82228224,19.85571798,6.936216753,74.00571644,56.07155425,17.23903687,45.999765,13.531003,115,47,13,750,Red,Laureate Imports
